Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y
21.0,1346.26,455.67,0.9438,1351.14,450.79,0.9413,1346.26,450.79,0.9547,1363.34,453.23,0.9309999999999999,1363.34,453.23,0.7279,1370.66,475.19,0.8828,1358.46,475.19,0.8899,1370.66,504.48,0.8422,1363.34,502.04,0.7676,1346.26,509.36,0.8669,1356.02,519.12,0.6303,1373.1,524.0,0.9198,1360.9,524.0,0.9039,1356.02,560.6,0.8815,1341.38,558.16,0.787,1363.34,606.97,0.8588,1385.3,555.72,0.7321,1356.02,441.03,0.9387,1363.34,465.43,0.927,1368.22,521.56,0.9291,1343.82,614.29,0.9326,1397.5,570.37,0.8932,1348.7,614.29,0.9185,1395.06,567.92,0.9491,1368.22,611.85,0.8973,1390.18,548.4,0.802,122.92,33.99,33.5,78.69,53.37,78.42,11.73,45.0,1329.31,438.83,1390.05,626.25
22.0,1316.4,456.58,0.9524,1320.98,452.01,0.9428,1316.4,452.01,0.9456,1334.7,456.58,0.9183,1334.7,458.87,0.8117,1336.98,477.16,0.8839,1332.41,474.87,0.8267,1327.84,504.6,0.9077,1334.7,502.31,0.722,1304.97,497.74,0.9766,1348.42,518.32,0.5635,1339.27,527.46,0.8918,1343.84,527.46,0.8229,1302.69,550.33,0.8994,1341.56,566.33,0.8201,1336.98,566.33,0.6316,1359.85,602.91,0.8754,1327.84,442.86,0.9411,1332.41,468.01,0.9228,1341.56,525.17,0.9079999999999999,1336.98,584.62,0.5748,1346.13,616.63,0.8451,1339.27,580.05,0.5228,1346.13,614.35,0.8145,1341.56,566.33,0.5842,1364.42,609.77,0.7922,29.93,122.98,35.84,88.26,71.57,64.98,1.21,90.0,1290.83,440.8,1371.71,616.41
23.0,1288.7,455.26,0.9336,1293.43,450.53,0.94,1288.7,450.53,0.9425,1302.89,452.89,0.9162,1305.26,455.26,0.7502,1305.26,474.18,0.9318,1307.62,471.82,0.8868,1293.43,500.2,0.9148,1319.45,495.47,0.7928,1274.51,483.65,0.9503,1314.72,512.03,0.795,1309.99,526.23,0.8753,1305.26,526.23,0.7689,1324.18,566.44,0.8596,1267.41,542.78,0.8778,1352.57,599.56,0.8615,1293.43,575.9,0.863,1298.16,441.07,0.9421,1302.89,464.72,0.9208,1307.62,526.23,0.8739,1343.11,616.12,0.8958,1281.6,594.83,0.9077,1347.84,616.12,0.9009999999999999,1281.6,590.1,0.9329,1359.67,601.92,0.8963,1298.16,580.63,0.8879,104.53,21.16,42.51,106.74,70.16,70.35,6.91,0.0,1246.3,436.57,1361.85,618.24
24.0,1260.12,453.62,0.9878,1264.4,449.35,0.9623,1260.12,449.35,0.9707,1275.09,453.62,0.9990000000000001,1275.09,453.62,0.893,1272.95,470.73,0.8999,1281.51,470.73,0.8114,1262.26,494.26,0.9675,1294.34,489.98,0.9886,1247.29,479.29,0.9599,1285.79,507.09,0.9091,1275.09,526.34,0.7982,1279.37,526.34,0.6793,1234.46,539.17,0.5619,1298.62,560.56,0.8027,1240.87,584.08,0.7027,1334.97,586.22,0.3793,1270.81,438.65,0.9003,1272.95,462.18,0.9145,1275.09,524.2,0.9690000000000001,1341.39,609.75,0.6894,1225.9,592.64,0.62,1343.53,607.61,0.6684,1225.9,590.5,0.6112,1341.39,586.22,0.5891,1245.15,590.5,0.581,25.42,80.6,60.25,110.56,141.42,67.55,3.22,116.57,1217.28,443.14,1343.6,607.39
25.0,1227.5,453.05,0.8909999999999999,1231.71,450.95,0.9059,1229.61,448.84,0.9017,1244.35,450.95,0.9291,1244.35,450.95,0.7904,1242.24,469.9,0.9025,1252.78,469.9,0.9057,1233.28,491.94,0.8585,1265.41,490.96,0.9356,1213.89,483.4,0.8192,1254.88,507.81,0.8979,1248.56,524.66,0.8446,1248.56,524.66,0.7912,1265.41,560.47,0.7931,1205.74,543.93,0.8240000000000001,1307.54,573.11,0.807,1197.4,585.26,0.5777,1238.03,440.41,0.9635,1242.24,461.48,0.9172,1248.56,524.66,0.9278,1318.07,592.06,0.4684,1176.89,592.05,0.7759999999999999,1320.17,587.85,0.4975,1177.98,590.14,0.7373,1311.75,571.0,0.622,1198.29,593.88,0.6546,54.37,48.1,62.97,91.64,60.28,44.25,5.6,nan,1170.84,442.81,1332.6,595.99
26.0,1197.79,453.3,0.9388,1199.92,449.04,0.9431,1197.79,449.04,0.9433,1212.72,451.17,0.8967,1212.72,451.17,0.7483,1214.85,470.36,0.9294,1221.25,468.23,0.8587,1210.58,495.95,0.9362,1229.78,495.95,0.7426,1184.99,500.22,0.9393,1189.26,502.35,0.3483,1214.85,525.81,0.7735,1219.11,525.81,0.7694,1187.12,557.8,0.8605,1223.38,562.06,0.5424,1167.93,594.05,0.8196,1270.3,562.06,0.7037,1206.32,438.37,0.9172,1212.72,461.83,0.9109,1216.98,523.68,0.9058,1148.74,594.05,0.6087,1148.74,596.19,0.6088,1148.74,598.32,0.6005,1148.74,594.05,0.6421,1170.06,600.45,0.6533,1276.69,553.53,0.695,83.29,13.02,98.13,71.08,164.32,62.1,11.31,90.0,1151.98,436.45,1241.46,600.24
27.0,1204.26,462.9,0.8789,1207.09,460.07,0.8689,1202.84,460.07,0.9404,1211.33,460.07,0.8149,1198.6,460.07,0.9345,1216.99,471.38,0.8122,1197.18,471.38,0.748,1232.55,475.63,0.8743,1195.77,489.78,0.4574,1218.4,465.72,0.8541,1216.99,467.14,0.264,1215.57,512.41,0.7581,1201.43,512.41,0.6885,1215.57,543.54,0.7486,1202.84,542.12,0.6688,1214.16,566.17,0.6758,1208.5,566.17,0.5942,1205.67,452.99,0.8624,1205.67,465.72,0.8259,1208.5,511.0,0.8017,1204.26,574.66,0.6027,1204.26,574.66,0.6782,1209.91,576.08,0.5557,1202.84,573.25,0.6442,1215.57,573.25,0.669,1214.16,570.42,0.3604,10.51,3.58,141.25,160.26,39.81,45.82,3.58,22.62,1196.97,450.3,1235.59,558.96
28.0,1137.53,456.3,0.9118,1141.7,453.37,0.9242,1137.53,453.37,0.9244,1151.73,455.46,0.9233,1151.72,455.45,0.7539,1155.48,473.41,0.8852,1154.66,473.38,0.8419,1159.66,501.79,0.8971,1156.83,504.77,0.8229,1151.72,525.62,0.9252,1137.33,513.19,0.5249,1161.77,526.88,0.8414,1159.66,526.89,0.83,1142.54,566.97,0.9321,1141.7,566.13,0.8653,1142.5,608.39,0.7933,1180.95,554.01,0.7170000000000001,1146.7,443.34,0.914,1151.73,465.48,0.9279,1161.76,524.78,0.8794,1123.28,616.2,0.7702,1196.07,565.43,0.7551,1126.81,618.32,0.8022,1193.92,563.75,0.7052,1145.35,615.49,0.7776,1185.14,549.01,0.7423,131.75,25.57,70.61,26.8,54.22,67.83,3.19,135.0,1119.5,438.8,1182.73,627.84
29.0,1106.85,460.66,0.9282,1111.36,458.4,0.9444,1109.11,458.4,0.941,1122.65,458.4,0.9334,1122.65,458.4,0.8004,1129.42,476.45,0.8699,1120.39,478.71,0.8789,1140.7,499.02,0.935,1120.39,505.79,0.8759999999999999,1136.19,523.84,0.8941,1097.82,501.28,0.8427,1131.67,530.61,0.8269,1129.42,532.87,0.7655,1095.57,557.69,0.8492,1124.9,568.98,0.8529,1136.19,557.69,0.9323,1140.7,609.6,0.8896,1115.88,447.12,0.9195,1122.65,469.68,0.924,1131.67,530.61,0.9329999999999999,1147.47,575.75,0.769,1122.65,618.62,1.0047,1145.21,573.49,0.7337,1124.9,616.37,0.9299,1142.96,555.44,0.8744,1147.47,614.11,0.9331,28.38,143.13,101.31,36.87,84.69,57.99,8.27,nan,1088.97,447.34,1154.07,620.65
30.0,1078.29,458.58,0.9322,1083.29,456.08,0.9246,1078.29,456.08,0.9353,1090.79,458.58,0.9583,1088.29,458.58,0.7567,1098.29,473.57,0.8578,1088.29,476.07,0.9364,1118.29,493.57,0.9348,1085.79,501.07,0.757,1120.79,521.07,0.9779,1068.29,488.57,0.9426,1098.29,531.07,0.8548,1100.79,531.07,0.8232,1060.79,543.57,0.899,1110.79,571.07,0.9285,1090.79,568.57,0.8879,1135.78,603.57,0.9849,1088.29,446.08,0.9535,1093.29,468.58,0.9028,1098.29,528.57,0.9122,1085.79,588.57,0.7805,1125.79,618.57,0.9391,1088.29,586.07,0.8387,1125.79,616.07,0.9499,1098.29,571.07,0.8178,1143.28,606.07,0.9147,23.53,121.76,119.83,39.81,71.26,64.23,7.76,135.0,1042.83,431.33,1146.24,623.32
