Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y,BBOX_SCORE
11,319.61,133.56,0.9442,321.85,132.44,0.965,319.61,132.44,0.9606,326.34,132.44,0.9403,319.61,132.44,0.6323,331.96,142.54,0.9355,321.85,142.54,0.9355,339.81,153.77,0.9244,322.98,152.65,0.8252,329.71,154.89,0.941,319.61,157.14,0.8715,330.83,168.36,0.9459,322.98,168.36,0.9348,329.71,187.44,0.9363,319.61,186.32,0.9634,336.45,203.16,0.8698,331.96,197.55,0.9775,322.98,125.71,0.9158,325.22,138.05,0.9665,326.34,167.24,0.9609,331.96,209.89,0.8408,329.71,207.65,0.9425,335.32,209.89,0.8828,328.59,205.4,0.8909,337.57,205.4,0.8747,334.2,197.55,0.921,58.35,26.57,43.21,118.65,60.26,56.89,8.1,32.47,315.3,124.7,345.25,210.9,1.0
12,319.62,134.32,0.9359,321.93,132.01,0.9611,319.62,132.01,0.946,326.55,130.86,0.9535,320.77,133.17,0.6229,332.32,141.25,0.948,321.93,142.41,0.926,340.41,152.8,0.8864,323.08,152.8,0.7768,328.86,153.96,0.9488,320.77,156.27,0.8983,330.01,167.82,0.9344,323.08,167.82,0.9394,333.48,187.46,0.9374,318.46,187.46,0.9711,340.41,202.48,0.9805,327.7,200.17,0.9072,321.93,126.23,0.9306,326.55,137.79,0.9572,326.55,167.82,0.9357,338.1,210.56,0.9366,327.7,209.41,0.8842,340.41,210.56,0.9118,325.39,208.25,0.8384,341.56,203.63,0.9013,330.01,200.17,0.8808,49.27,14.77,40.03,119.28,36.03,40.72,21.8,0.0,315.58,124.04,345.6,212.76,1.0
13,320.86,132.31,0.9247,322.03,129.97,0.9257,319.69,129.97,0.9172,326.73,129.97,0.9656,320.86,131.14,0.7203,332.59,140.52,0.9307,322.03,141.7,0.9547,340.8,152.25,0.9351,322.03,152.25,0.7722,329.07,153.43,0.9453,320.86,154.6,0.8793,330.25,167.5,0.9346,323.21,167.5,0.9279,334.94,186.27,0.9428,318.52,187.44,0.9541,343.15,203.87,0.9421,324.38,206.21,0.9066,322.03,124.1,0.9374,325.55,137.0,0.9871,326.73,166.33,0.9553,339.63,212.08,0.8939,322.03,213.25,0.8882,343.15,212.08,0.8897,320.86,212.08,0.8934,345.5,205.04,0.8896,326.73,209.73,0.8779,30.59,10.98,26.57,119.28,35.79,48.22,12.96,36.87,314.22,124.22,347.44,214.31,1.0
14,320.49,133.26,0.9546,321.71,132.04,0.9564,319.27,132.04,0.941,326.59,130.82,0.9456,321.71,132.04,0.7279,332.69,140.58,0.8862,321.71,141.8,0.9222,341.23,152.78,0.9761,325.37,151.56,0.8168,329.03,154.0,0.9707,321.71,155.22,0.8383,331.47,167.42,0.9302,324.15,167.42,0.9153,336.35,188.16,0.9368,320.49,186.94,0.9606,347.33,201.58,0.9406,321.71,208.9,0.8923,322.93,125.94,0.8949,325.37,136.92,0.9878,327.81,166.2,0.9336,344.89,212.56,0.9315,316.83,213.78,0.8672,347.33,211.34,0.8952,315.61,212.56,0.9131,348.55,201.58,0.8928,324.15,211.34,0.9002,13.8,26.05,65.56,119.28,48.18,51.82,7.77,36.87,314.86,123.62,351.74,217.32,0.99
15,319.48,134.35,0.9632,321.92,131.91,0.9358,319.48,133.13,0.9347,326.8,133.13,0.9105,321.92,133.13,0.7107,332.9,141.67,0.939,321.92,142.89,0.903,341.45,153.87,0.9862,324.36,152.65,0.8435,330.46,155.09,0.9717,323.14,157.53,0.8717,331.68,169.73,0.9133,324.36,169.73,0.9009,336.56,190.48,0.9506,321.92,189.26,0.9832,348.77,201.46,0.9581,320.7,210.0,0.8938,321.92,127.03,0.9127,325.58,138.01,0.9807,328.02,168.51,0.9359,348.77,212.44,0.9353,314.6,214.88,0.8357,349.99,211.22,0.9655,314.6,213.66,0.8702,351.21,201.46,0.9036,321.92,214.88,0.9358,3.76,34.77,28.07,118.65,47.97,48.01,13.86,36.87,312.63,123.49,356.84,217.2,0.96
16,320.54,135.27,0.9175,321.65,133.04,0.9444,319.42,133.04,0.9288,327.22,133.04,0.9387,324.99,134.16,0.6764,332.78,143.06,0.9393,322.76,144.18,0.9318,342.8,154.2,0.9982,326.1,154.2,0.8569,330.56,156.42,0.935,321.65,158.65,0.9327,332.78,169.78,0.9143,326.1,169.78,0.8863,337.24,192.05,0.9467,323.88,190.94,0.9742,350.6,198.73,0.9527,321.65,212.09,0.9514,322.76,127.48,0.9111,326.1,138.61,0.9674,328.33,168.67,0.9568,351.71,209.86,0.8893,316.09,216.54,0.8406,353.94,207.64,0.9387,314.97,216.54,0.8558,351.71,196.5,0.9363,323.88,215.43,0.8781,0.0,52.12,63.44,121.68,45.33,57.72,12.46,40.6,316.72,128.7,358.87,214.2,0.96
17,320.02,135.85,0.9424,322.18,133.69,0.9447,320.02,133.69,0.9405,327.57,134.77,0.9296,326.5,135.85,0.6839,334.05,143.41,0.9429,323.26,144.49,0.9051,343.77,155.28,0.9714,326.5,155.28,0.8589,332.97,158.52,0.9316,323.26,160.68,0.8904,334.05,171.48,0.9286,326.5,171.48,0.9126,337.29,194.15,0.9743,324.34,193.07,0.9138,352.41,197.39,0.9568,325.42,213.58,0.9203,323.26,128.29,0.9257,326.5,140.17,0.9462,329.73,170.4,0.9754,354.57,207.1,0.8964,320.02,220.06,0.8385,356.72,204.94,0.9062,318.94,218.98,0.9016,352.41,196.31,0.9386,327.57,217.9,0.9775,8.72,69.78,47.66,112.59,42.82,65.38,9.14,32.47,317.33,130.56,360.49,213.47,0.97
18,320.14,137.37,0.9453,322.37,135.14,0.9592,320.14,135.14,0.9361,327.95,136.26,0.9507,324.6,136.26,0.6519,333.53,145.18,0.9283,322.37,146.3,0.9193,345.81,156.35,0.9754,325.72,157.46,0.9061,335.77,160.81,0.9333,322.37,161.93,0.925,334.65,171.97,0.9336,326.84,173.09,0.891,334.65,195.41,0.942,325.72,193.17,0.9706,350.27,198.76,0.9144,330.18,215.5,0.9037,323.49,129.56,0.9287,326.84,141.84,0.9628,330.18,171.97,0.9735,353.62,206.57,0.928,324.6,221.08,0.8984,355.85,205.45,0.9062,323.49,219.96,0.9227,351.39,196.52,0.9491,332.42,217.73,0.8746,14.49,77.91,53.57,113.76,56.31,54.71,8.91,18.43,317.27,130.79,359.84,216.5,0.98
19,319.22,139.36,0.952,321.64,136.94,0.9527,319.22,136.94,0.9417,326.49,136.94,0.915,325.28,138.15,0.6284,333.76,146.63,0.9355,321.64,147.84,0.9039,345.87,156.33,0.9791,325.28,159.96,0.8425,336.18,162.38,0.9595,321.64,164.81,0.8242,333.76,174.5,0.9222,326.49,174.5,0.9182,331.34,196.31,0.9602,325.28,196.31,0.9359,347.09,199.94,0.9104,331.34,215.69,0.939,322.86,130.88,0.9028,325.28,143.0,0.9893,330.12,173.29,0.92,350.72,209.63,0.9081,326.49,221.75,0.857,353.14,207.21,0.9353,326.49,220.54,0.9459,349.51,198.73,0.9119,333.76,218.11,0.9059,20.53,83.35,53.57,109.33,56.01,56.45,2.22,36.87,317.92,128.58,353.24,221.63,0.96
20,319.91,139.8,0.938,321.14,137.33,0.9471,318.68,137.33,0.9209,326.07,137.33,0.9184,324.84,137.33,0.6442,334.68,147.18,0.954,322.37,148.41,0.9245,345.76,155.8,0.9438,324.84,160.72,0.8352,337.15,163.19,0.9314,322.37,164.42,0.8899,334.68,174.26,0.9152,327.3,175.5,0.8886,330.99,196.42,0.9627,328.53,196.42,0.9296,344.53,202.58,1.0073,335.91,216.12,0.9767,322.37,131.18,0.8992,326.07,143.49,0.9513,330.99,174.26,0.9665,346.99,214.89,0.9271,329.76,222.27,0.9019,349.46,212.43,0.9118,329.76,221.04,0.9267,348.22,202.58,0.9418,338.38,218.58,0.9389,17.19,75.02,45.0,101.52,65.56,54.25,7.61,18.44,318.56,128.84,352.04,223.38,0.99
