Frame,Nose_X,Nose_Y,Nose_Score,LEye_X,LEye_Y,LEye_Score,REye_X,REye_Y,REye_Score,LEar_X,LEar_Y,LEar_Score,REar_X,REar_Y,REar_Score,LShoulder_X,LShoulder_Y,LShoulder_Score,RShoulder_X,RShoulder_Y,RShoulder_Score,LElbow_X,LElbow_Y,LElbow_Score,RElbow_X,RElbow_Y,RElbow_Score,LWrist_X,LWrist_Y,LWrist_Score,RWrist_X,RWrist_Y,RWrist_Score,LHip_X,LHip_Y,LHip_Score,RHip_X,RHip_Y,RHip_Score,LKnee_X,LKnee_Y,LKnee_Score,RKnee_X,RKnee_Y,RKnee_Score,LAnkle_X,LAnkle_Y,LAnkle_Score,RAnkle_X,RAnkle_Y,RAnkle_Score,Head_X,Head_Y,Head_Score,Neck_X,Neck_Y,Neck_Score,Hip_X,Hip_Y,Hip_Score,LBigToe_X,LBigToe_Y,LBigToe_Score,RBigToe_X,RBigToe_Y,RBigToe_Score,LSmallToe_X,LSmallToe_Y,LSmallToe_Score,RSmallToe_X,RSmallToe_Y,RSmallToe_Score,LHeel_X,LHeel_Y,LHeel_Score,RHeel_X,RHeel_Y,RHeel_Score,RKnee,LKnee,RElbow,LElbow,RAnkle,LAnkle,Neck,Hip,TL_X,TL_Y,BR_X,BR_Y,BBOX_SCORE
95,309.39,132.31,0.9586,312.42,129.28,0.9525,309.39,129.28,0.9335,318.49,129.28,0.9059,318.49,130.8,0.7213,327.59,142.93,0.919,312.42,144.45,0.9391,342.76,153.55,1.0091,313.94,158.1,0.8577,330.62,159.62,0.9121,309.39,159.62,0.9689,324.56,176.3,0.9249,318.49,176.3,0.9404,315.46,200.57,0.9783,327.59,200.57,0.9698,312.42,229.39,0.879,348.83,209.67,0.8876,313.94,121.7,0.9158,318.49,138.38,0.9694,321.52,176.3,0.9513,301.8,235.46,0.841,351.86,221.81,0.9463,306.36,236.98,0.881,351.86,220.29,0.9572,315.46,232.43,0.8565,353.38,209.67,0.8304,46.25,14.55,77.91,118.44,52.77,54.25,10.68,0.0,303.42,118.81,356.31,235.31,0.99
96,309.22,132.54,0.9578,312.21,129.55,0.9537,309.22,129.55,0.936,318.19,129.55,0.9162,316.7,131.05,0.7203,327.17,143.01,0.9231,312.21,144.51,0.913,342.12,153.48,0.9794,315.2,159.46,0.8807,330.16,160.96,0.9216,309.22,160.96,0.9666,324.18,177.41,0.9171,318.19,177.41,0.9228,315.2,201.33,0.9549,327.17,201.33,0.9397,313.71,228.25,0.8556,348.1,210.31,0.8912,313.71,122.07,0.9177,318.19,138.52,0.974,321.19,175.91,0.9638,301.74,235.73,0.8521,352.59,220.77,0.941,304.74,237.23,0.8523,351.1,220.77,0.9369,315.2,232.74,0.846,352.59,208.81,0.8581,46.25,17.38,87.27,113.0,43.6,54.81,10.68,53.13,302.96,119.23,355.87,234.08,0.99
97,309.31,132.85,0.9541,312.31,129.85,0.9508,309.31,129.85,0.9352,318.32,129.85,0.933,316.82,131.35,0.7015,327.33,143.36,0.932,312.31,144.86,0.9294,342.34,153.87,1.0113,315.32,158.37,0.8935,330.33,161.38,0.9491,309.31,161.38,0.9628,324.33,176.39,0.9475,318.32,176.39,0.9526,315.32,201.91,0.9541,325.83,201.91,0.9984,313.82,228.94,0.8836,348.35,209.42,0.8658,313.82,122.34,0.9075,316.82,137.35,0.9747,321.32,176.39,0.9795,301.8,236.45,0.8535,351.35,221.43,0.9141,304.81,237.95,0.8457,351.35,219.93,0.9581,316.82,231.94,0.8303,352.85,207.92,0.8074,55.18,16.26,75.96,113.0,57.53,54.81,4.73,0.0,303.11,119.49,356.05,234.8,0.99
98,309.67,132.19,0.9558,311.15,130.71,0.9539,308.19,130.71,0.9381,318.55,130.71,0.9421,314.11,130.71,0.6821,327.43,142.55,0.9368,312.63,144.03,0.9396,342.24,154.39,1.013,315.59,157.35,0.8762,330.4,161.79,0.9464,309.67,160.31,0.9655,324.47,176.59,0.9422,318.55,176.59,0.9592,315.59,201.75,0.9363,324.47,201.75,0.9839,312.63,228.4,0.8574,348.16,209.15,0.8829,312.63,123.31,0.8946,317.07,138.11,0.959,320.03,176.59,0.9642,302.27,235.8,0.8732,352.6,221.0,0.927,305.23,237.28,0.8754,351.12,219.52,0.961,315.59,232.84,0.8506,352.6,207.67,0.7926,59.41,13.1,75.96,109.33,52.09,48.12,12.3,0.0,303.4,120.5,355.91,234.17,0.99
99,309.22,132.51,0.9587,310.71,131.03,0.9528,307.73,131.03,0.9392,318.14,131.03,0.9343,315.17,131.03,0.6876,327.06,142.92,0.9382,312.19,144.41,0.9303,341.93,154.81,1.0015,315.17,159.27,0.8617,330.03,162.25,0.9496,309.22,162.25,0.947,324.09,177.11,0.9358,318.14,177.11,0.9539,315.17,202.38,0.939,324.09,202.38,0.9668,313.68,229.14,0.874,346.39,208.33,0.8991,313.68,123.59,0.896,316.65,138.46,0.9594,321.11,175.62,0.9638,301.79,236.58,0.8953,352.33,220.22,0.9163,306.25,238.06,0.865,350.85,218.74,0.9481,315.17,233.6,0.8452,350.85,206.84,0.787,61.83,16.26,74.74,109.33,48.5,54.81,4.47,53.13,303.17,120.77,355.41,234.94,0.99
100,308.83,133.35,0.9406,311.79,130.39,0.9421,308.83,131.87,0.9289,317.69,130.39,0.9222,316.22,130.39,0.6711,326.55,143.69,0.9386,311.79,145.16,0.9306,341.32,155.5,1.0012,314.74,158.45,0.8628,329.51,161.41,0.9336,308.83,161.41,0.9581,323.6,177.65,0.9304,317.69,177.65,0.9491,314.74,202.76,0.9143,323.6,202.76,0.9951,313.26,230.82,0.8959,345.75,208.67,0.9099,313.26,123.01,0.8643,317.69,139.26,0.9498,320.65,176.18,0.956,301.45,236.73,0.8898,351.66,219.01,0.9301,305.88,238.21,0.8693,350.18,217.53,0.9289,316.22,235.25,0.8968,350.18,205.71,0.822,61.83,16.43,75.96,114.78,45.32,60.42,10.68,53.13,302.35,121.68,355.19,235.1,0.98
101,309.33,133.65,0.9515,310.79,130.72,0.9446,307.86,132.19,0.9396,318.13,130.72,0.9334,313.73,132.19,0.6641,325.46,143.92,0.9313,312.26,145.39,0.9411,341.6,155.66,1.0064,315.19,158.59,0.8633,328.4,162.99,0.9495,309.33,162.99,0.9601,322.53,177.66,0.9315,318.13,177.66,0.9495,313.73,202.6,0.8959,322.53,202.6,0.9841,313.73,230.48,0.9096,346.0,208.47,0.8901,312.26,123.38,0.8839,316.66,139.52,0.9417,319.6,176.2,0.9554,301.99,236.34,0.8907,351.87,218.74,0.9071,306.39,237.81,0.8528,350.4,217.27,0.9144,316.66,234.88,0.8696,350.4,205.54,0.7678,65.96,19.44,65.66,114.92,46.22,63.43,10.68,71.57,302.88,122.06,355.38,234.73,0.98
102,309.24,134.12,0.9474,310.7,131.21,0.9454,307.79,131.21,0.9425,317.96,131.21,0.9336,312.15,132.67,0.6448,326.68,144.29,0.9312,312.15,145.75,0.9446,341.22,155.92,0.9859,315.06,160.28,0.8714,328.14,163.19,0.9502,309.24,163.19,0.9879,322.32,177.72,0.9517,317.96,179.17,0.9526,313.6,202.43,0.8861,322.32,202.43,0.9923,313.6,230.04,0.9186,344.12,208.24,0.9081,312.15,123.95,0.8987,316.51,138.48,0.9507,319.42,177.72,0.983,303.43,237.31,0.8779,351.39,218.42,0.9305,306.34,238.76,0.8499,349.94,216.96,0.9237,316.51,234.4,0.8925,349.94,205.34,0.8408,64.45,19.44,74.74,112.29,39.53,54.46,12.46,45.0,302.8,122.64,354.93,234.26,0.98
103,309.25,134.07,0.955,310.7,131.16,0.9484,307.8,132.61,0.944,317.97,131.16,0.9371,312.16,132.61,0.6422,326.69,144.24,0.9173,312.16,145.7,0.9458,341.23,157.33,0.9515,315.06,160.24,0.8567,328.15,163.14,0.9285,309.25,163.14,0.9951,322.33,177.68,0.9459,317.97,179.14,0.9446,313.61,203.85,0.8845,322.33,202.4,0.9465,313.61,230.02,0.9327,345.59,208.21,0.9113,312.16,123.89,0.8861,316.52,139.88,0.949,319.43,177.68,0.9785,303.43,237.29,0.8855,351.41,218.39,0.9266,306.34,238.74,0.86,349.96,216.93,0.9294,316.52,234.38,0.8976,349.96,205.3,0.8382,65.34,18.43,74.74,114.05,46.22,54.46,10.86,45.0,302.91,122.58,354.84,234.23,0.98
104,308.68,134.47,0.9531,310.12,131.59,0.9524,308.68,133.03,0.9495,317.34,131.59,0.925,315.89,131.59,0.6844,326.0,144.58,0.9225,311.56,146.02,0.9141,340.43,156.13,0.9353,315.89,160.46,0.9011,327.44,163.34,0.9544,308.68,163.34,1.0025,323.11,177.78,0.9583,317.34,179.22,0.9452,314.45,203.76,0.8934,320.22,203.76,0.8963,314.45,229.75,0.9387,344.76,208.09,0.9146,313.01,124.37,0.8897,317.34,138.8,0.9603,318.78,177.78,0.9786,304.35,236.96,0.8815,350.54,218.2,0.9464,307.23,238.41,0.8786,350.54,216.76,0.8993,317.34,234.08,0.8937,349.09,205.21,0.8123,73.28,18.43,84.9,112.29,50.25,54.46,14.58,45.0,302.2,123.07,354.13,233.93,0.98
105,308.5,133.58,0.9234,309.93,130.71,0.9381,308.5,132.14,0.9031,317.1,132.14,0.9239,317.1,132.14,0.7832,325.71,145.05,0.9115,312.8,146.49,0.9011,340.05,157.96,0.993,315.67,160.83,0.8949,327.14,163.7,0.9203,309.93,163.7,0.9652,322.84,178.04,0.9375,317.1,179.48,0.9095,314.23,203.86,0.8525,319.97,203.86,0.8341,314.23,229.68,0.9165,342.92,208.16,0.7447,312.8,124.97,0.9101,317.1,139.31,0.9458,319.97,178.04,0.9343,305.63,236.85,0.854,350.09,218.2,0.5539,308.5,238.28,0.8465,348.66,216.77,0.5466,317.1,232.55,0.8613,350.09,205.29,0.6813,72.67,18.43,74.74,114.05,43.84,50.19,12.46,26.56,301.96,126.55,353.77,236.71,0.98
106,308.34,134.62,0.9183,311.23,131.73,0.9643,308.34,131.73,0.9166,318.45,133.18,0.9357,317.01,133.18,0.7399,325.68,144.74,0.8957,312.67,146.18,0.9092,338.68,157.74,1.0225,315.56,160.63,0.9045,325.68,164.97,0.9347,308.34,164.97,0.9911,322.79,179.42,0.9374,317.01,179.42,0.9024,314.12,203.98,0.8261,319.9,205.43,0.8609,315.56,229.99,0.9128,343.02,208.32,0.8404,312.67,124.51,0.8985,317.01,140.4,0.9516,319.9,177.97,0.9409,305.45,237.22,0.8628,348.8,218.43,0.8313,309.78,238.66,0.8787,348.8,216.99,0.812,318.45,232.88,0.871,348.8,206.87,0.7153,76.53,22.62,70.35,105.95,53.13,57.64,10.86,53.13,302.19,126.1,353.49,237.08,0.98
107,308.27,134.58,0.9187,311.18,131.67,0.964,308.27,131.67,0.9155,318.45,133.13,0.9333,315.54,133.13,0.7207,325.72,144.76,0.8873,311.18,146.22,0.9102,338.81,159.3,0.9871,315.54,160.76,0.9092,325.72,165.12,0.9358,308.27,165.12,0.9843,322.81,178.21,0.9379,316.99,179.66,0.8967,314.08,202.93,0.8381,319.9,204.38,0.8634,315.54,230.56,0.8956,343.17,207.29,0.8301,312.63,125.86,0.8838,316.99,140.4,0.9526,319.9,178.21,0.9449,306.81,237.83,0.8589,348.99,217.47,0.8056,309.72,239.28,0.8665,347.53,216.02,0.8234,318.45,233.47,0.8513,348.99,205.84,0.7079,76.17,22.45,75.74,108.02,53.13,53.21,12.3,26.56,302.6,126.0,353.2,237.68,0.99
108,307.82,134.31,0.9135,310.74,132.85,0.9433,307.82,132.85,0.9034,318.04,132.85,0.9249,316.58,132.85,0.7226,325.33,145.98,0.8966,312.2,147.44,0.9283,338.46,159.12,0.9739,315.12,162.03,0.935,325.33,164.95,0.9267,309.28,166.41,0.9428,322.41,179.54,0.9462,316.58,179.54,0.9106,313.66,202.89,0.8644,320.96,204.35,0.9542,315.12,230.61,0.9099,342.84,208.72,0.8978,312.2,125.56,0.8954,316.58,140.15,0.9544,319.5,178.08,0.9652,306.36,237.9,0.8857,348.68,218.94,0.9166,310.74,237.9,0.9028,347.22,217.48,0.8982,319.5,233.53,0.8461,348.68,205.8,0.7991,68.68,23.57,64.44,111.04,48.95,53.21,12.3,53.13,302.09,125.7,352.95,237.76,0.98
109,308.14,135.2,0.9343,311.13,132.22,0.9132,308.14,132.22,0.9012,318.58,133.71,0.9211,314.11,132.22,0.6873,326.04,145.64,0.9326,311.13,147.13,0.9326,337.97,160.55,0.9634,314.11,162.05,0.9391,324.55,165.03,0.9298,308.14,166.52,0.9573,321.57,178.45,0.9249,317.09,179.94,0.8911,314.11,203.81,0.8873,320.07,205.3,0.951,317.09,230.65,0.9083,342.45,206.79,0.8419,312.62,124.76,0.889,317.09,141.17,0.9503,320.07,178.45,0.9381,306.65,238.11,0.8761,348.41,217.23,0.9308,309.63,238.11,0.9323,348.41,215.74,0.8872,320.07,233.63,0.9005,348.41,205.3,0.7839,79.48,22.73,64.44,110.22,56.44,60.8,10.68,26.57,301.12,124.91,352.45,239.45,0.98
110,307.81,134.78,0.9193,310.84,131.75,0.8851,307.81,133.26,0.8845,316.91,133.26,0.9034,313.88,133.26,0.6904,324.5,145.4,0.9178,312.36,146.92,0.9042,338.15,160.57,0.9714,313.88,162.09,0.9313,324.5,165.12,0.9337,309.33,166.64,0.9554,321.46,180.29,0.9437,316.91,180.29,0.9022,312.36,204.56,0.9195,318.43,206.07,0.9558,316.91,230.34,0.9146,342.7,207.59,0.8997,312.36,125.68,0.8944,316.91,140.85,0.9463,318.43,178.77,0.9437,306.29,237.93,0.8874,347.25,216.69,0.9262,310.84,239.45,0.9345,348.77,216.69,0.8545,319.95,234.89,0.9076,347.25,204.56,0.8368,83.06,30.56,50.71,113.55,59.86,64.47,14.41,71.56,300.99,124.32,352.55,240.81,0.98
111,307.67,134.89,0.9075,310.68,133.39,0.8939,307.67,133.39,0.8988,316.69,133.39,0.9061,315.19,133.39,0.7009,325.7,146.91,0.9224,312.18,146.91,0.8918,337.73,160.43,0.9773,313.68,161.94,0.9266,324.2,166.44,0.9132,307.67,166.44,0.966,321.2,179.97,0.9179,316.69,179.97,0.8804,312.18,204.01,0.8951,318.19,205.51,0.9351,316.69,229.55,0.9295,342.23,208.52,0.8605,312.18,125.87,0.8994,316.69,140.9,0.9402,319.69,178.46,0.9388,307.67,237.06,0.8931,346.74,217.53,0.9581,310.68,238.57,0.9452,346.74,216.03,0.9016,321.2,234.06,0.9096,346.74,205.51,0.7767,79.51,30.56,58.84,107.67,56.31,60.2,12.13,71.56,300.63,124.52,352.28,239.92,0.98
112,307.04,136.28,0.9366,310.06,133.26,0.9287,307.04,133.26,0.9276,317.62,133.26,0.9196,314.6,133.26,0.723,325.18,146.86,0.9186,311.57,146.86,0.8877,337.27,161.98,0.9648,314.6,161.98,0.9164,323.67,166.51,0.9352,308.55,166.51,0.9716,322.15,180.12,0.932,316.11,180.12,0.8888,313.09,205.82,0.9297,316.11,205.82,0.9176,317.62,230.0,0.9172,340.29,208.84,0.8584,311.57,125.7,0.902,316.11,140.82,0.9514,319.13,178.61,0.9601,308.55,237.56,0.9291,346.34,217.91,0.9448,311.57,239.07,0.9694,346.34,216.4,0.8872,320.64,233.03,0.8672,346.34,205.82,0.8094,82.87,30.06,64.44,110.22,49.18,60.81,12.13,53.13,300.3,124.34,351.56,240.43,0.98
113,307.07,135.95,0.9526,310.11,134.43,0.9368,307.07,134.43,0.9416,316.19,134.43,0.916,314.67,134.43,0.714,323.79,146.59,0.9048,311.63,148.11,0.9,337.47,161.79,0.9523,313.15,161.79,0.9034,323.79,166.35,0.931,308.59,167.87,0.9685,322.27,180.04,0.9402,316.19,180.04,0.8885,313.15,205.88,0.9169,316.19,207.4,0.89,317.71,230.2,0.9111,340.51,208.92,0.8891,311.63,125.31,0.8942,316.19,142.03,0.9534,319.23,178.52,0.9577,308.59,237.8,0.9349,346.59,218.04,0.9278,311.63,239.32,0.9762,346.59,216.52,0.8593,322.27,233.24,0.8655,345.07,205.88,0.8016,86.42,30.06,43.21,113.55,52.73,60.81,10.49,53.13,300.7,123.94,351.45,240.69,0.97
114,307.53,136.03,0.9654,309.05,134.52,0.9566,306.01,134.52,0.9603,316.63,134.52,0.935,315.11,134.52,0.7856,324.22,146.65,0.9075,312.08,148.17,0.9189,336.35,161.82,0.9583,313.6,161.82,0.8499,322.7,167.89,0.937,309.05,167.89,0.9377,321.18,180.02,0.9441,315.11,180.02,0.9115,313.6,205.81,0.9424,315.11,207.33,0.9439,318.15,231.6,0.8976,340.9,208.84,0.8397,312.08,125.42,0.9197,316.63,142.1,0.9694,318.15,178.51,0.9729,309.05,237.66,0.9278,345.45,219.46,0.9208,312.08,239.18,0.9842,345.45,217.94,0.8463,322.7,234.63,0.8743,345.45,205.81,0.8235,86.63,26.4,43.21,104.7,63.43,66.32,12.87,53.13,300.01,124.05,349.93,240.55,0.97
115,306.83,136.13,0.9518,309.88,134.6,0.9558,306.83,134.6,0.9479,315.98,134.6,0.9338,314.46,134.6,0.8068,323.62,146.81,0.9059,311.41,148.34,0.9247,335.83,162.08,0.9469,312.93,162.08,0.8144,322.09,166.66,0.9442,308.35,168.18,0.9335,322.09,178.87,0.9352,315.98,180.39,0.9213,312.93,206.34,0.9195,315.98,206.34,0.9291,319.04,230.76,0.891,338.88,209.39,0.7863,311.41,125.45,0.9184,315.98,142.24,0.95,319.04,178.87,0.967,309.88,238.39,0.8848,344.99,218.55,0.8579,312.93,238.39,0.944,344.99,217.03,0.8189,323.62,233.82,0.8899,344.99,206.34,0.7576,82.41,32.47,43.21,110.22,48.72,64.23,10.49,26.57,299.51,124.07,349.25,241.29,0.97
116,307.12,135.54,0.9691,308.65,134.01,0.9527,307.12,134.01,0.9649,316.33,134.01,0.9114,314.79,135.54,0.8008,324.01,147.82,0.9048,311.72,147.82,0.9282,336.29,163.18,0.9437,313.26,163.18,0.8326,322.47,167.78,0.948,308.65,167.78,0.8981,322.47,178.53,0.9388,314.79,180.07,0.9095,313.26,206.16,0.9313,314.79,206.16,0.9105,319.4,230.73,0.8883,339.36,209.24,0.7465,311.72,126.33,0.9356,316.33,141.68,0.9811,319.4,178.53,0.9569,311.72,238.41,0.8719,345.5,218.45,0.8271,313.26,238.41,0.9479,345.5,216.91,0.7855,324.01,233.8,0.8713,343.96,206.16,0.7509,82.87,32.47,50.71,110.22,49.18,59.04,11.94,18.44,300.4,123.41,349.14,241.32,0.97
117,306.63,136.71,0.9628,309.72,133.62,0.9531,306.63,133.62,0.9643,315.89,135.16,0.9249,314.35,135.16,0.8695,323.6,147.5,0.9185,312.8,147.5,0.9462,335.94,162.93,0.9527,314.35,162.93,0.8172,322.06,167.55,0.9321,308.18,169.1,0.9098,322.06,179.89,0.93,315.89,179.89,0.8911,314.35,206.11,0.9269,315.89,206.11,0.9319,320.52,230.79,0.8941,339.02,210.74,0.7582,312.8,125.91,0.9515,315.89,141.33,0.9781,318.97,178.35,0.9745,311.26,238.5,0.9069,343.65,219.99,0.8509,314.35,238.5,0.9324,343.65,216.91,0.7881,325.14,233.87,0.866,343.65,207.65,0.7841,78.69,30.43,50.71,110.22,52.13,64.23,6.55,53.13,300.8,122.98,347.95,241.43,0.98
118,306.5,137.07,0.9642,309.56,134.01,0.9609,306.5,134.01,0.965,315.68,135.54,0.9238,314.15,135.54,0.8868,323.33,147.78,0.9204,312.62,147.78,0.9464,335.57,164.61,0.9567,314.15,163.08,0.8263,321.8,167.67,0.9375,308.03,169.19,0.8982,321.8,179.9,0.9293,315.68,179.9,0.888,314.15,205.91,0.9506,315.68,205.91,0.9242,321.8,231.91,0.887,338.63,210.5,0.8161,312.62,126.36,0.948,315.68,141.66,0.9752,318.74,178.37,0.9717,312.62,238.03,0.8942,343.22,221.2,0.9228,315.68,239.56,0.8797,343.22,218.14,0.8586,326.39,233.44,0.8253,343.22,207.44,0.797,78.69,32.78,50.71,113.5,55.49,72.7,6.55,53.13,300.65,123.46,347.54,240.94,0.98
119,306.5,136.73,0.9653,309.57,133.66,0.9576,306.5,133.66,0.9678,315.7,135.2,0.9357,314.17,135.2,0.8782,323.37,149.0,0.92,312.64,147.47,0.944,335.65,164.34,0.9313,314.17,162.81,0.8115,321.84,167.41,0.9268,309.57,167.41,0.8635,321.84,179.69,0.9171,315.7,179.69,0.8733,314.17,205.76,0.9604,315.7,205.76,0.9043,321.84,231.84,0.8781,338.71,211.9,0.7816,312.64,125.99,0.9583,315.7,141.33,0.9843,318.77,178.15,0.9616,312.64,237.98,0.9032,343.32,222.64,0.9162,315.7,239.51,0.8928,343.32,219.57,0.8396,326.44,234.91,0.8579,341.78,208.83,0.8014,75.07,32.78,50.71,116.13,51.87,72.7,6.55,53.13,301.85,123.08,346.43,240.89,0.98
120,305.74,136.37,0.9426,308.83,133.28,0.9377,305.74,133.28,0.9334,315.01,134.82,0.929,315.01,134.82,0.8834,324.28,148.73,0.9331,311.92,148.73,0.9388,335.1,164.18,0.9416,315.01,162.64,0.8142,321.19,167.28,0.9159,308.83,168.82,0.8859,321.19,179.64,0.9083,315.01,179.64,0.8715,313.46,205.91,0.9688,315.01,205.91,0.9136,322.74,232.18,0.9065,338.19,212.09,0.7995,311.92,127.1,0.9649,315.01,142.55,0.9701,318.1,178.09,0.955,313.46,238.36,0.9418,342.82,222.91,0.924,316.55,238.36,0.8696,342.82,219.82,0.8454,327.37,235.27,0.8866,341.28,209.0,0.832,75.07,35.83,57.53,112.46,51.87,75.75,6.34,53.13,301.59,122.62,345.42,241.3,0.98
121,306.77,137.22,0.9704,308.28,134.2,0.9587,306.77,134.2,0.9708,315.86,135.71,0.9364,314.34,135.71,0.8768,323.43,147.83,0.9174,311.31,147.83,0.932,334.03,164.49,0.9248,314.34,162.98,0.8291,320.4,167.52,0.9117,308.28,169.03,0.9154,321.92,179.64,0.9135,314.34,179.64,0.9078,314.34,205.39,0.9423,312.83,205.39,0.924,323.43,231.14,0.8934,337.06,211.45,0.8474,312.83,126.62,0.9499,315.86,141.77,0.9897,318.89,178.12,0.9704,314.34,237.2,0.9014,341.61,222.05,0.9367,317.37,238.71,0.8624,341.61,220.54,0.8413,327.97,234.17,0.8676,341.61,208.42,0.83,79.33,35.83,56.31,109.94,52.77,75.75,6.55,45.0,301.96,123.74,346.42,240.08,0.99
122,307.18,136.5,0.9519,310.13,133.55,0.9622,307.18,133.55,0.9542,316.03,135.03,0.9324,314.56,135.03,0.7889,323.42,148.31,0.9059,311.61,148.31,0.9191,335.22,164.55,0.9214,314.56,163.08,0.8309,320.46,167.51,0.9019,308.65,168.98,0.9255,321.94,179.32,0.9045,314.56,179.32,0.9022,314.56,205.89,0.9218,313.08,205.89,0.9248,324.89,230.98,0.8954,336.7,211.79,0.8942,313.08,126.17,0.9408,316.03,142.41,0.9665,318.99,177.84,0.9724,314.56,238.36,0.8794,341.13,222.13,0.9723,317.51,239.84,0.8522,341.13,220.65,0.838,329.32,235.41,0.8194,341.13,208.84,0.8213,79.14,37.9,56.31,114.72,52.77,76.84,5.54,45.0,302.35,124.84,345.96,238.22,0.99
123,307.03,136.17,0.9646,310.01,134.68,0.9689,307.03,134.68,0.9729,315.98,134.68,0.9319,314.49,134.68,0.7869,323.44,148.11,0.9161,311.5,148.11,0.9241,333.88,164.52,0.923,314.49,163.03,0.8244,320.46,167.51,0.8974,310.01,169.0,0.9219,321.95,179.44,0.9026,314.49,179.44,0.9011,314.49,206.3,0.9539,311.5,206.3,0.9389,324.93,231.67,0.8641,335.38,210.78,0.8694,312.99,125.73,0.9325,315.98,142.14,0.9734,318.96,177.95,0.9678,315.98,239.13,0.8956,341.35,222.72,0.9134,318.96,240.62,0.818,341.35,221.22,0.7799,329.41,234.65,0.8891,339.85,209.29,0.8337,85.72,37.9,48.18,109.94,52.82,72.57,5.54,45.0,302.63,124.39,345.74,238.98,0.99
124,307.13,135.29,0.9163,310.1,133.81,0.9425,307.13,133.81,0.9178,316.03,133.81,0.9309,316.03,135.29,0.8045,323.46,148.65,0.9062,311.58,147.17,0.9116,333.84,164.97,0.945,316.03,163.49,0.8148,320.49,167.94,0.9126,310.1,169.43,0.9378,323.46,179.82,0.8975,314.55,179.82,0.9014,316.03,206.53,0.9257,311.58,206.53,0.931,326.42,230.27,0.8341,335.33,212.47,0.856,313.07,126.39,0.9254,316.03,141.23,0.9492,319.0,178.33,0.9685,317.52,237.69,0.8338,341.26,222.85,0.8301,319.0,239.18,0.8045,341.26,221.37,0.7135,330.88,234.73,0.8558,339.78,209.5,0.7677,82.3,39.15,60.26,109.94,46.22,73.82,6.74,36.87,302.98,125.05,345.42,239.03,0.99
125,307.33,135.88,0.9382,310.27,132.95,0.9259,307.33,132.95,0.9112,316.14,134.41,0.9328,316.14,134.41,0.815,324.95,149.1,0.9084,311.74,147.63,0.9275,333.76,165.25,0.9367,314.67,163.78,0.8156,320.55,168.18,0.933,308.8,169.65,0.9328,323.48,179.93,0.8987,314.67,179.93,0.9048,316.14,206.36,0.8875,310.27,206.36,0.9559,326.42,231.32,0.8493,335.23,212.23,0.8686,313.21,125.61,0.92,316.14,141.76,0.9539,319.08,178.46,0.9702,317.61,238.66,0.8817,339.63,223.98,0.8697,320.55,238.66,0.8395,339.63,221.04,0.7281,330.82,234.25,0.8698,339.63,210.76,0.773,86.22,37.9,55.3,106.08,56.2,72.57,5.73,36.87,303.53,125.75,344.91,238.51,0.99
126,307.88,135.77,0.9267,309.36,134.29,0.9025,307.88,134.29,0.9102,316.74,134.29,0.9288,313.78,134.29,0.7846,324.11,147.57,0.9085,312.31,147.57,0.9282,334.44,165.28,0.9483,316.74,163.8,0.7781,319.69,168.23,0.9331,309.36,168.23,0.9084,322.64,180.03,0.9399,315.26,180.03,0.9151,316.74,206.59,0.8791,310.83,206.59,0.9671,327.06,230.2,0.8066,335.92,212.49,0.8131,312.31,126.91,0.931,316.74,141.67,0.9605,319.69,178.55,0.9473,318.21,237.57,0.8157,338.87,224.3,0.8446,319.69,239.05,0.8151,338.87,221.34,0.7158,331.49,233.15,0.8718,340.34,211.02,0.7585,86.22,36.16,74.29,108.95,62.72,73.82,12.13,45.0,303.18,125.58,343.57,238.9,0.99
127,307.61,136.65,0.95,310.62,133.65,0.9414,307.61,133.65,0.9501,316.64,133.65,0.9485,313.63,135.15,0.7525,324.15,148.68,0.9126,312.12,147.18,0.9047,333.18,165.23,0.9437,316.64,163.72,0.8047,319.64,166.73,0.9425,309.12,169.74,0.8656,322.65,180.27,0.9412,315.13,180.27,0.9034,318.14,207.34,0.9024,310.62,207.34,0.9626,328.67,229.9,0.848,334.68,213.35,0.8249,312.12,126.13,0.9276,316.64,141.16,0.9644,319.64,178.76,0.9545,316.64,237.42,0.8418,337.69,225.39,0.8395,321.15,238.92,0.8459,337.69,222.38,0.76,333.18,234.41,0.9408,339.19,211.85,0.772,85.43,34.48,66.6,112.27,61.93,83.01,12.13,45.0,303.39,124.77,343.41,240.27,0.99
128,307.72,135.3,0.9322,310.71,133.8,0.9292,307.72,133.8,0.9268,316.7,133.8,0.9547,315.2,135.3,0.7378,324.18,148.77,0.9172,313.7,148.77,0.9146,333.16,165.23,0.9397,316.7,163.73,0.8216,319.69,166.72,0.9378,310.71,168.22,0.8388,324.18,180.19,0.94,316.7,180.19,0.901,318.19,208.63,0.8819,310.71,207.13,0.9551,328.67,231.08,0.8679,333.16,216.11,0.8317,312.21,124.82,0.8998,316.7,141.28,0.9816,319.69,178.7,0.9654,318.19,238.56,0.8007,319.69,229.58,0.4862,322.68,240.06,0.7844,319.69,228.09,0.56,333.16,234.07,0.9417,336.15,214.62,0.8044,80.73,36.91,64.44,112.27,113.2,79.48,10.68,45.0,303.69,124.97,343.17,239.91,0.99
